Player Name,Pos,Value
CeeDee Lamb,WR1,9940
Bijan Robinson,RB1,9938
Christian McCaffrey,RB2,9909
Breece Hall,RB3,9841
Justin Jefferson,WR2,9661
Tyreek Hill,WR3,9561
Amon-Ra St. Brown,WR4,9346
Ja'Marr Chase,WR5,8802
Josh Allen,QB1,8434
Garrett Wilson,WR6,8406
A.J. Brown,WR7,8386
Saquon Barkley,RB4,8309
Jonathan Taylor,RB5,8100
Jahmyr Gibbs,RB6,8079
C.J. Stroud,QB2,7971
Marvin Harrison Jr.,WR8,7782
Sam LaPorta,TE1,7715
De'Von Achane,RB7,7696
Patrick Mahomes,QB3,7673
Jaylen Waddle,WR9,7542
Puka Nacua,WR11,7536
Nico Collins,WR10,7536
Lamar Jackson,QB4,7429
Brandon Aiyuk,WR12,7423
Kyren Williams,RB8,7413
Jalen Hurts,QB5,7406
Isiah Pacheco,RB9,7343
Travis Etienne,RB10,7306
D.J. Moore,WR13,7148
Anthony Richardson,QB6,7100
DK Metcalf,WR14,7091
Chris Olave,WR15,7026
James Cook,RB11,6986
Malik Nabers,WR16,6980
Trey McBride,TE2,6946
Cooper Kupp,WR17,6911
Dalton Kincaid,TE3,6870
Kenneth Walker III,RB12,6859
Deebo Samuel,WR18,6842
DeVonta Smith,WR19,6835
Mike Evans,WR20,6773
Drake London,WR21,6759
Josh Jacobs,RB13,6482
Derrick Henry,RB14,6452
Joe Burrow,QB7,6441
Travis Kelce,TE4,6423
Michael Pittman,WR22,6392
Kyler Murray,QB8,6353
Rashee Rice,WR23,6344
Jayden Daniels,QB9,6337
Davante Adams,WR24,6331
Caleb Williams,QB10,6296
Rachaad White,RB15,6207
Mark Andrews,TE5,6207
Tee Higgins,WR25,6183
George Pickens,WR26,6107
Alvin Kamara,RB16,6099
Joe Mixon,RB17,6091
Jordan Love,QB11,6089
Zay Flowers,WR27,6026
Xavier Worthy,WR28,5917
Terry McLaurin,WR29,5833
Kyle Pitts,TE6,5783
David Montgomery,RB18,5775
Rome Odunze,WR30,5660
George Kittle,TE7,5636
James Conner,RB19,5635
Brian Thomas Jr.,WR31,5595
Chris Godwin,WR32,5583
Brian Robinson,RB20,5580
Brock Bowers,TE8,5517
Rhamondre Stevenson,RB21,5465
Tony Pollard,RB22,5446
Dak Prescott,QB12,5439
Jaxon Smith-Njigba,WR33,5386
Jordan Addison,WR34,5361
Brock Purdy,QB13,5333
D'Andre Swift,RB23,5255
Stefon Diggs,WR35,5222
Najee Harris,RB24,5210
Christian Watson,WR36,5209
Ladd McConkey,WR37,5194
Jonathon Brooks,RB25,5161
Aaron Jones,RB26,5145
Amari Cooper,WR38,5141
Christian Kirk,WR39,5118
Evan Engram,TE9,5107
Jerome Ford,RB27,5107
Trevor Lawrence,QB14,5072
Jake Ferguson,TE10,5036
Justin Herbert,QB15,5035
Javonte Williams,RB28,5031
Zamir White,RB29,5010
Tyjae Spears,RB30,4982
Isaiah Likely,TE11,4961
T.J. Hockenson,TE12,4948
Keon Coleman,WR40,4937
Diontae Johnson,WR41,4935
Keenan Allen,WR42,4914
Tua Tagovailoa,QB16,4910
Jaylen Warren,RB31,4898
Adonai Mitchell,WR43,4878
Zack Moss,RB32,4854
Blake Corum,RB33,4760
David Njoku,TE13,4736
Trey Benson,RB34,4717
Baker Mayfield,QB17,4669
Chase Brown,RB35,4665
J.K. Dobbins,RB36,4658
Marquise Brown,WR44,4646
Dalton Schultz,TE14,4629
Ja'Lynn Polk,WR45,4607
Jameson Williams,WR46,4582
Khalil Shakir,WR47,4547
San Francisco 49ers,DST1,4469
Josh Downs,WR48,4458
Raheem Mostert,RB37,4454
Xavier Legette,WR49,4446
Courtland Sutton,WR50,4404
Romeo Doubs,WR51,4389
Jared Goff,QB18,4356
Jakobi Meyers,WR52,4352
Kirk Cousins,QB19,4331
Drake Maye,QB20,4310
Zach Charbonnet,RB38,4300
Nick Chubb,RB39,4296
Josh Palmer,WR53,4272
Devin Singletary,RB40,4258
Jaylen Wright,RB41,4234
Dallas Cowboys,DST2,4207
DeAndre Hopkins,WR54,4182
Pat Freiermuth,TE15,4131
Aaron Rodgers,QB21,4125
Bucky Irving,RB42,4122
Cole Kmet,TE16,4093
Austin Ekeler,RB43,4091
Tyler Allgeier,RB44,4061
Chuba Hubbard,RB45,4052
Tyler Lockett,WR55,4048
Rashod Bateman,WR56,4042
Justin Tucker,PK1,4029
Will Levis,QB22,4022
Matthew Stafford,QB23,4013
Gus Edwards,RB46,4010
Curtis Samuel,WR57,4006
Dallas Goedert,TE17,3996
Audric Estime,RB47,3961
Justin Fields,QB24,3946
Ricky Pearsall,WR58,3938
Jerry Jeudy,WR59,3892
Gabriel Davis,WR60,3884
Braelon Allen,RB48,3870
Bryce Young,QB25,3862
Taysom Hill,QB26,3855
Bo Nix,QB27,3825
Mike Williams,WR61,3818
MarShawn Lloyd,RB49,3801
Roman Wilson,WR62,3797
Jalen McMillan,WR63,3790
Baltimore Ravens,DST3,3787
Deshaun Watson,QB28,3780
Ty Chandler,RB50,3753
Darnell Mooney,WR64,3694
J.J. McCarthy,QB29,3691
Michael Mayer,TE18,3660
Luke McCaffrey,WR65,3659
New York Jets,DST4,3645
Buffalo Bills,DST5,3590
Dawson Knox,TE19,3586
Jermaine Burton,WR66,3586
Cleveland Browns,DST6,3563
Wan'Dale Robinson,WR67,3550
Ezekiel Elliott,RB51,3539
Brandin Cooks,WR68,3513
Antonio Gibson,RB52,3512
Khalil Herbert,RB53,3499
Elijah Moore,WR69,3481
Quentin Johnston,WR70,3480
Noah Fant,TE20,3477
Ja'Tavion Sanders,TE21,3451
Harrison Butker,PK2,3445
Roschon Johnson,RB54,3426
Jahan Dotson,WR71,3423
Luke Musgrave,TE22,3423
Cade Otton,TE23,3400
Tank Bigsby,RB55,3390
Kendre Miller,RB56,3387
Jalin Hyatt,WR72,3384
Malachi Corley,WR73,3381
Troy Franklin,WR74,3374
Greg Dulcich,TE24,3364
Alec Pierce,WR75,3364
Alexander Mattison,RB57,3351
Michael Penix Jr.,QB30,3340
Russell Wilson,QB31,3331
Kendrick Bourne,WR76,3324
Adam Thielen,WR77,3317
Tyler Boyd,WR78,3226
Philadelphia Eagles,DST7,3210
Rondale Moore,WR79,3188
Rondale Moore,WR80,3188
Mike Gesicki,TE25,3182
Dameon Pierce,RB58,3180
Pittsburgh Steelers,DST8,3165
Younghoe Koo,PK3,3164
D.J. Chark,WR82,3132
Darius Slayton,WR81,3132
Treylon Burks,WR83,3116
Hunter Henry,TE26,3081
Chigoziem Okonkwo,TE27,3080
Will Shipley,RB59,3079
Tutu Atwell,WR84,3073
Kansas City Chiefs,DST9,3045
Daniel Jones,QB32,2961
John Metchie,WR85,2819
Zay Jones,WR86,2814
Josh Reynolds,WR87,2811
Elijah Mitchell,RB60,2776
Brenden Rice,WR88,2751
Jamaal Williams,RB61,2671
Kenneth Gainwell,RB62,2670
Trey Sermon,RB63,2640
Evan McPherson,PK4,2632
Jalen Tolbert,WR89,2617
Tyler Bass,PK5,2607
Jonnu Smith,TE28,2584
Tyler Higbee,TE30,2550
Derek Carr,QB33,2533
Jake Elliott,PK6,2480
Miles Sanders,RB64,2449
Cedric Tillman,WR91,2441
Noah Gray,TE31,2438
Gerald Everett,TE32,2423
Devontez Walker,WR92,2349
Sam Howell,QB34,2329
Eric Gray,RB66,2223
Jelani Woods,TE33,2211
Mecole Hardman,WR93,2209
D'Onta Foreman,RB67,2157
Darnell Washington,TE34,2087
Miami Dolphins,DST10,2041
Daniel Carlson,PK7,1996
Deuce Vaughn,RB68,1969
Pierre Strong Jr.,RB69,1949
Calvin Austin III,WR94,1934
Clyde Edwards-Helaire,RB70,1924
Van Jefferson,WR95,1907
Tyquan Thornton,WR96,1806
Jeffery Wilson,RB71,1761
Israel Abanikanda,RB72,1737
Sean Tucker,RB73,1728
Parker Washington,WR98,1719
AJ Dillon,RB74,1707
Kenny McIntosh,RB75,1698
Jaheim Bell,TE36,1675
Brevin Jordan,TE37,1659
Jason Sanders,PK8,1659
Green Bay Packers,DST11,1658
Jason Myers,PK9,1649
Michael Carter,RB76,1643
Allen Lazard,WR99,1643
Marquez Valdes-Scantling,WR100,1583
Hassan Haskins,RB77,1578
Dalvin Cook,RB78,1560
New Orleans Saints,DST12,1557
David Bell,WR101,1545
Xavier Hutchinson,WR102,1529
Wil Lutz,PK10,1508
Laviska Shenault,WR103,1482
Odell Beckham,WR104,1472
Kayshon Boutte,WR105,1444
Skyy Moore,WR106,1430
Justyn Ross,WR108,1408
Jase McClellan,RB79,1403
KJ Hamler,WR109,1397
Adam Trautman,TE38,1388
Keaontay Ingram,RB80,1380
Damien Harris,RB81,1370
Irv Smith,TE40,1318
Desmond Ridder,QB36,1313
Matt Gay,PK11,1308
Jimmy Garoppolo,QB37,1247
New England Patriots,DST13,1239
Austin Hooper,TE41,1237
Zach Evans,RB84,1233
Kenny Pickett,QB38,1223
Parris Campbell,WR114,1222
Seattle Seahawks,DST14,1216
Los Angeles Rams,DST15,1209
Tyrion Davis-Price,RB88,1205
Michael Gallup,WR118,1201
Isaiah Spiller,RB90,1200
Chase Claypool,WR120,1198
Indianapolis Colts,DST16,1197
Rakim Jarrett,WR121,1196
Russell Gage,WR122,1195
Kareem Hunt,RB92,1190
Hendon Hooker,QB40,1188
Sterling Shepard,WR124,1187
Mac Jones,QB41,1184
Sam Darnold,QB42,1183
Marquez Callaway,WR126,1183
Mike Badgley,PK13,1178
Kadarius Toney,WR129,1176
Robert Woods,WR128,1176
Jameis Winston,QB44,1175
Trey Lance,QB45,1168
Kenyan Drake,RB99,1160
Greg Zuerlein,PK14,1160
Zach Wilson,QB46,1159
Terrace Marshall,WR135,1157
Graham Gano,PK15,1156
Julio Jones,WR137,1153
Jalen Guyton,WR138,1152
Hunter Renfrow,WR146,1135
Carson Wentz,QB47,1134
Chase Edmonds,RB104,1133
Michael Thomas,WR151,1130
Malik Willis,QB49,1118
Darren Waller,TE50,1095
Cameron Dicker,PK16,1094
Donovan Peoples-Jones,WR158,1090
Albert Okwuegbunam,TE51,1079
Tampa Bay Buccaneers,DST17,1032
James Robinson,RB118,1024
Detroit Lions,DST18,1011
Cameron Latu,TE54,1002
Allen Robinson,WR161,994
Jacksonville Jaguars,DST19,993
Darrell Henderson,RB121,985
Leonard Fournette,RB126,954
Matt Prater,PK17,952
Chris Boswell,PK19,908
Joey Slye,PK21,891
Los Angeles Chargers,DST20,834
Houston Texans,DST21,830
Cairo Santos,PK22,758
Dustin Hopkins,PK23,683
Minnesota Vikings,DST22,667
Kyle Trask,QB55,662
Jaren Hall,QB56,641
Ka'imi Fairbairn,PK24,590
Chicago Bears,DST23,581
Washington Commanders,DST24,580
Denver Broncos,DST25,531
Cincinnati Bengals,DST26,457
Jake Moody,PK26,450
Drew Lock,QB60,419
Nick Folk,PK28,416
Chase McLaughlin,PK29,394
Blake Grupe,PK30,245
Brandon Aubrey,PK31,243
Eddy Pineiro,PK32,196
Las Vegas Raiders,DST27,193
Arizona Cardinals,DST28,66
Will Reichard,PK59,37
Atlanta Falcons,DST29,24
Cam Little,PK70,23
Carolina Panthers,DST30,21
Tennessee Titans,DST32,0
New York Giants,DST31,0
Cade York,PK85,0
Joshua Karty,PK95,0
Jake Bates,PK97,0
Brayden Narveson,PK99,0
Spencer Shrader,PK100,0
