,Player Name,Pos,Value
0,CeeDee Lamb,WR1,9999
1,Breece Hall,RB1,9999
2,Justin Jefferson,WR2,9993
3,Bijan Robinson,RB2,9851
4,Amon-Ra St. Brown,WR3,9345
5,Tyreek Hill,WR4,9042
6,Christian McCaffrey,RB3,9013
7,Ja'Marr Chase,WR5,8758
8,A.J. Brown,WR6,8709
9,Jahmyr Gibbs,RB4,8510
10,Saquon Barkley,RB5,8492
11,Josh Allen,QB1,8444
12,Garrett Wilson,WR7,8316
13,Jonathan Taylor,RB6,8262
14,De'Von Achane,RB7,8179
15,Nico Collins,WR8,7985
16,Patrick Mahomes,QB2,7786
17,Marvin Harrison Jr.,WR9,7674
18,Lamar Jackson,QB3,7667
19,Cooper Kupp,WR10,7550
20,Jalen Hurts,QB4,7539
21,Rashee Rice,WR11,7430
22,Isiah Pacheco,RB8,7413
23,C.J. Stroud,QB5,7387
24,DeVonta Smith,WR12,7332
25,Sam LaPorta,TE1,7302
26,Trey McBride,TE2,7296
27,Kyren Williams,RB9,7281
28,Deebo Samuel,WR13,7209
29,Anthony Richardson,QB6,7206
30,Mike Evans,WR14,7131
31,Travis Etienne,RB10,7063
32,Malik Nabers,WR15,7040
33,James Cook,RB11,7025
34,Puka Nacua,WR16,6990
35,Joe Mixon,RB12,6954
36,Jaylen Waddle,WR17,6946
37,Kenneth Walker III,RB13,6844
38,Davante Adams,WR18,6824
39,Brandon Aiyuk,WR19,6810
40,D.J. Moore,WR20,6679
41,Josh Jacobs,RB14,6676
42,DK Metcalf,WR21,6641
43,Chris Olave,WR22,6594
44,Derrick Henry,RB15,6513
45,Alvin Kamara,RB16,6476
46,Kyler Murray,QB7,6373
47,David Montgomery,RB17,6313
48,James Conner,RB18,6281
49,Zay Flowers,WR23,6280
50,George Pickens,WR24,6274
51,Jayden Daniels,QB8,6242
52,Drake London,WR25,6230
53,Brock Bowers,TE3,6224
54,Chris Godwin,WR26,6213
55,Jordan Mason,RB19,6079
56,Michael Pittman,WR27,6068
57,Dalton Kincaid,TE4,6062
58,Travis Kelce,TE5,6023
59,Stefon Diggs,WR28,5946
60,Xavier Worthy,WR29,5937
61,Rachaad White,RB20,5883
62,Jordan Love,QB9,5855
63,Rhamondre Stevenson,RB21,5843
64,Brian Thomas Jr.,WR30,5807
65,Kyle Pitts,TE6,5742
66,Brian Robinson,RB22,5732
67,Caleb Williams,QB10,5615
68,Rome Odunze,WR31,5605
69,Mark Andrews,TE7,5575
70,Jameson Williams,WR32,5555
71,Joe Burrow,QB11,5519
72,Tee Higgins,WR33,5510
73,George Kittle,TE8,5399
74,Baker Mayfield,QB12,5369
75,Aaron Jones,RB23,5362
76,Jaxon Smith-Njigba,WR34,5323
77,Tony Pollard,RB24,5309
78,Christian Watson,WR35,5303
79,Dak Prescott,QB13,5276
80,J.K. Dobbins,RB25,5270
81,Terry McLaurin,WR36,5263
82,Jonathon Brooks,RB26,5244
83,Jordan Addison,WR37,5229
84,Najee Harris,RB27,5229
85,Isaiah Likely,TE9,5170
86,Ladd McConkey,WR38,5150
87,Justin Herbert,QB14,5075
88,Amari Cooper,WR39,5071
89,Khalil Shakir,WR40,5067
90,Brock Purdy,QB15,5045
91,Zack Moss,RB28,4996
92,Evan Engram,TE10,4978
93,Jerome Ford,RB29,4969
94,Jake Ferguson,TE11,4943
95,Keenan Allen,WR41,4911
96,T.J. Hockenson,TE12,4864
97,Christian Kirk,WR42,4861
98,D'Andre Swift,RB30,4858
99,Keon Coleman,WR43,4818
100,Diontae Johnson,WR44,4811
101,Trevor Lawrence,QB16,4803
102,Javonte Williams,RB31,4796
103,Tyjae Spears,RB32,4767
104,Trey Benson,RB33,4746
105,Devin Singletary,RB34,4673
106,Xavier Legette,WR45,4633
107,Chase Brown,RB35,4584
108,Jaylen Warren,RB36,4560
109,Bucky Irving,RB37,4558
110,Zamir White,RB38,4552
111,Blake Corum,RB39,4548
112,Tua Tagovailoa,QB17,4544
113,Raheem Mostert,RB40,4542
114,Zach Charbonnet,RB41,4541
115,Marquise Brown,WR46,4528
116,Courtland Sutton,WR47,4488
117,Romeo Doubs,WR48,4481
118,David Njoku,TE13,4449
119,Jakobi Meyers,WR49,4371
120,Adonai Mitchell,WR50,4370
121,Jared Goff,QB18,4350
122,San Francisco 49ers,DST1,4348
123,Kirk Cousins,QB19,4330
124,Ja'Lynn Polk,WR51,4317
125,Dallas Goedert,TE14,4303
126,Jaylen Wright,RB42,4281
127,Matthew Stafford,QB20,4232
128,Josh Palmer,WR52,4198
129,Tyler Lockett,WR53,4196
130,DeAndre Hopkins,WR54,4182
131,Dalton Schultz,TE15,4171
132,Josh Downs,WR55,4147
133,Pat Freiermuth,TE16,4141
134,Mike Williams,WR56,4074
135,Aaron Rodgers,QB21,4073
136,Tyler Allgeier,RB43,4061
137,Chuba Hubbard,RB44,4047
138,Drake Maye,QB22,4036
139,Ricky Pearsall,WR57,4026
140,Nick Chubb,RB45,4014
141,Justin Tucker,PK1,3978
142,Justin Fields,QB23,3965
143,Dallas Cowboys,DST2,3965
144,New York Jets,DST3,3960
145,Jalen McMillan,WR58,3949
146,Gus Edwards,RB46,3945
147,Braelon Allen,RB47,3944
148,Alexander Mattison,RB48,3925
149,Austin Ekeler,RB49,3903
150,Baltimore Ravens,DST4,3894
151,Rashod Bateman,WR59,3877
152,Ezekiel Elliott,RB50,3859
153,Taysom Hill,QB24,3854
154,Alec Pierce,WR60,3831
155,Ty Chandler,RB51,3824
156,Luke McCaffrey,WR61,3812
157,Tank Bigsby,RB52,3767
158,Cleveland Browns,DST5,3747
159,Brandin Cooks,WR62,3731
160,Wan'Dale Robinson,WR63,3702
161,Curtis Samuel,WR64,3695
162,Audric Estime,RB53,3679
163,Jerry Jeudy,WR65,3676
164,Cole Kmet,TE17,3675
165,Harrison Butker,PK2,3674
166,Gabriel Davis,WR66,3664
167,Buffalo Bills,DST6,3637
168,Darnell Mooney,WR67,3628
169,Adam Thielen,WR68,3592
170,Dawson Knox,TE18,3584
171,Luke Musgrave,TE19,3578
172,Bryce Young,QB25,3562
173,Deshaun Watson,QB26,3557
174,Michael Penix Jr.,QB27,3554
175,Bo Nix,QB28,3539
176,Michael Mayer,TE20,3536
177,MarShawn Lloyd,RB54,3516
178,Will Levis,QB29,3510
179,Noah Fant,TE21,3509
180,J.J. McCarthy,QB30,3468
181,Ja'Tavion Sanders,TE22,3454
182,Antonio Gibson,RB55,3446
183,Roman Wilson,WR69,3415
184,Jermaine Burton,WR70,3398
185,Younghoe Koo,PK3,3395
186,Greg Dulcich,TE23,3363
187,Derek Carr,QB31,3354
188,Roschon Johnson,RB56,3346
189,Treylon Burks,WR71,3321
190,Malachi Corley,WR72,3305
191,Hunter Henry,TE24,3304
192,Jalin Hyatt,WR73,3297
193,Khalil Herbert,RB57,3279
194,Pittsburgh Steelers,DST7,3275
195,Quentin Johnston,WR74,3269
196,Cade Otton,TE25,3259
197,Russell Wilson,QB32,3254
198,Troy Franklin,WR75,3250
199,Jamaal Williams,RB58,3232
200,Kendrick Bourne,WR76,3221
201,Elijah Moore,WR77,3193
202,Kendre Miller,RB59,3186
203,Kansas City Chiefs,DST8,3131
204,Jahan Dotson,WR78,3123
205,Josh Reynolds,WR79,3105
206,Marvin Mims,WR80,3042
207,Miles Sanders,RB60,3035
208,Dameon Pierce,RB61,2992
209,Philadelphia Eagles,DST9,2982
210,Chigoziem Okonkwo,TE26,2951
211,Mike Gesicki,TE27,2943
212,Tutu Atwell,WR81,2920
213,Rondale Moore,WR82,2887
214,Tyler Boyd,WR83,2876
215,Zay Jones,WR84,2839
216,Daniel Jones,QB33,2804
217,D.J. Chark,WR85,2765
218,Darius Slayton,WR86,2759
219,Will Shipley,RB62,2720
220,Elijah Mitchell,RB63,2715
221,Tyler Bass,PK4,2681
222,Jonnu Smith,TE28,2652
223,Evan McPherson,PK5,2604
224,John Metchie,WR87,2601
225,Tyler Higbee,TE29,2591
226,Jalen Tolbert,WR88,2554
227,Brenden Rice,WR89,2551
228,Trey Sermon,RB64,2517
229,Jake Elliott,PK6,2516
230,Noah Gray,TE30,2512
231,Kenneth Gainwell,RB65,2378
232,Devontez Walker,WR91,2359
233,Zach Ertz,TE31,2358
234,D'Onta Foreman,RB66,2318
235,Allen Lazard,WR92,2271
236,Eric Gray,RB67,2231
237,Sam Howell,QB34,2198
238,Cedric Tillman,WR93,2146
239,Jeffery Wilson,RB69,2138
240,Daniel Carlson,PK7,2093
241,Deuce Vaughn,RB70,2070
242,Tyquan Thornton,WR94,2039
243,Calvin Austin III,WR95,2014
244,Mecole Hardman,WR96,1984
245,Darnell Washington,TE32,1973
246,Pierre Strong Jr.,RB71,1969
247,Miami Dolphins,DST10,1892
248,Jelani Woods,TE33,1868
249,Gerald Everett,TE34,1862
250,Brevin Jordan,TE35,1843
251,Van Jefferson,WR97,1790
252,New Orleans Saints,DST11,1758
253,Parker Washington,WR98,1746
254,Marquez Valdes-Scantling,WR99,1743
255,Clyde Edwards-Helaire,RB72,1738
256,KJ Hamler,WR101,1716
257,Kenny McIntosh,RB73,1703
258,Israel Abanikanda,RB74,1659
259,AJ Dillon,RB75,1655
260,Sean Tucker,RB76,1654
261,Jason Sanders,PK8,1652
262,Dalvin Cook,RB77,1630
263,David Bell,WR102,1614
264,Skyy Moore,WR103,1611
265,Wil Lutz,PK9,1605
266,Xavier Hutchinson,WR104,1583
267,Hassan Haskins,RB78,1568
268,Jason Myers,PK10,1567
269,Michael Carter,RB79,1545
270,Jase McClellan,RB80,1406
271,Green Bay Packers,DST12,1406
272,Jaheim Bell,TE37,1392
273,Detroit Lions,DST13,1359
274,Los Angeles Rams,DST14,1335
275,Seattle Seahawks,DST15,1326
276,Kayshon Boutte,WR107,1303
277,Matt Gay,PK11,1276
278,Kareem Hunt,RB82,1267
279,New England Patriots,DST16,1250
280,Irv Smith,TE38,1245
281,Kenny Pickett,QB36,1232
282,Odell Beckham,WR110,1228
283,Damien Harris,RB83,1225
