,Player Name,Pos,Value,NFL_Team
0,Justin Jefferson,WR1,9999,MIN
1,Ja'Marr Chase,WR2,9903,CIN
2,CeeDee Lamb,WR3,9755,DAL
3,Jahmyr Gibbs,RB1,9457,DET
4,Saquon Barkley,RB2,9323,PHI
5,Lamar Jackson,QB1,9264,BAL
6,Derrick Henry,RB3,9063,BAL
7,Malik Nabers,WR4,9059,NYG
8,Jayden Daniels,QB2,8849,WAS
9,Amon-Ra St. Brown,WR5,8837,DET
10,A.J. Brown,WR6,8703,PHI
11,Bijan Robinson,RB4,8552,ATL
12,Breece Hall,RB5,8404,NYJ
13,Josh Allen,QB3,8370,BUF
14,Brock Bowers,TE1,8025,LVR
15,Kyren Williams,RB6,7939,LAR
16,Kenneth Walker III,RB7,7855,SEA
17,De'Von Achane,RB8,7730,MIA
18,Drake London,WR7,7692,ATL
19,Puka Nacua,WR8,7673,LAR
20,Tyreek Hill,WR9,7668,MIA
21,Jalen Hurts,QB4,7553,PHI
22,Nico Collins,WR10,7450,HOU
23,Jonathan Taylor,RB9,7417,IND
24,Joe Mixon,RB10,7386,HOU
25,Alvin Kamara,RB11,7384,NOS
26,Garrett Wilson,WR11,7326,NYJ
27,Brian Thomas Jr.,WR12,7320,JAC
28,Christian McCaffrey,RB12,7245,SFO
29,George Kittle,TE2,7149,SFO
30,David Montgomery,RB13,7130,DET
31,DK Metcalf,WR13,7091,SEA
32,Marvin Harrison Jr.,WR14,7080,ARI
33,James Cook,RB14,7075,BUF
34,Jordan Love,QB5,6989,GBP
35,Terry McLaurin,WR15,6962,WAS
36,Jayden Reed,WR16,6892,GBP
37,Trey McBride,TE3,6839,ARI
38,Brian Robinson,RB15,6783,WAS
39,Sam LaPorta,TE4,6782,DET
40,Joe Burrow,QB6,6762,CIN
41,DeVonta Smith,WR17,6758,PHI
42,Josh Jacobs,RB16,6615,GBP
43,Cooper Kupp,WR18,6597,LAR
44,C.J. Stroud,QB7,6565,HOU
45,Tee Higgins,WR19,6494,CIN
46,Zay Flowers,WR20,6439,BAL
47,Chris Olave,WR21,6423,NOS
48,Aaron Jones,RB17,6381,MIN
49,Tank Dell,WR22,6360,HOU
50,Tank Dell,WR22,6284,HOU
51,D'Andre Swift,RB19,6233,CHI
52,Deebo Samuel,WR23,6224,SFO
53,George Pickens,WR24,6220,PIT
54,J.K. Dobbins,RB20,6190,LAC
55,Brock Purdy,QB8,6183,SFO
56,D.J. Moore,WR25,6158,CHI
57,Mike Evans,WR26,6143,TBB
58,Patrick Mahomes,QB9,6123,KCC
59,Kyler Murray,QB10,6111,ARI
60,Jaxon Smith-Njigba,WR27,6104,SEA
61,Baker Mayfield,QB11,5936,TBB
62,Rome Odunze,WR28,5911,CHI
63,Amari Cooper,WR29,5873,BUF
64,Dalton Kincaid,TE5,5860,BUF
65,Travis Kelce,TE6,5813,KCC
66,James Conner,RB21,5787,ARI
67,Xavier Worthy,WR30,5774,KCC
68,Tony Pollard,RB22,5773,TEN
69,Tony Pollard,RB22,5773,TEN
70,Jameson Williams,WR31,5748,DET
71,Davante Adams,WR32,5670,NYJ
72,Bucky Irving,RB23,5662,TBB
73,Tank Bigsby,RB24,5642,JAC
74,Jordan Addison,WR33,5585,MIN
75,Chuba Hubbard,RB25,5574,CAR
76,Jaylen Waddle,WR34,5556,MIA
77,Jared Goff,QB12,5498,DET
78,Ladd McConkey,WR35,5455,LAC
79,Josh Downs,WR36,5449,IND
80,Caleb Williams,QB13,5434,CHI
81,Jordan Mason,RB26,5417,SFO
82,Chase Brown,RB27,5385,CIN
83,T.J. Hockenson,TE7,5366,MIN
84,Rhamondre Stevenson,RB28,5295,NEP
85,Jonathon Brooks,RB29,5253,CAR
86,Kyle Pitts,TE8,5198,ATL
87,Darnell Mooney,WR37,5180,ATL
88,Braelon Allen,RB30,5159,NYJ
89,Michael Pittman,WR38,5147,IND
90,Diontae Johnson,WR39,5138,BAL
91,Nick Chubb,RB31,5093,CLE
92,Najee Harris,RB32,5037,PIT
93,Stefon Diggs,WR40,5036,HOU
94,Javonte Williams,RB33,5031,DEN
95,Kirk Cousins,QB14,5001,ATL
96,David Njoku,TE9,4997,CLE
97,Travis Etienne,RB34,4975,JAC
98,Justin Herbert,QB15,4964,LAC
99,Chris Godwin,WR41,4962,TBB
100,Wan'Dale Robinson,WR42,4938,NYG
101,Drake Maye,QB16,4890,NEP
102,Khalil Shakir,WR43,4886,BUF
103,Keon Coleman,WR44,4871,BUF
104,Brandon Aiyuk,WR45,4837,SFO
105,Dallas Goedert,TE10,4823,PHI
106,Romeo Doubs,WR46,4775,GBP
107,Dak Prescott,QB17,4740,DAL
